"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b0",127072.703533333,127070,127052.844958145,13468.6,0.95,124822,129385,NA,NA,NA,NA,NA,NA,NA
"b1[1] Assis",-46358.4725066667,-46371.05,-46319.6200116119,13246,0.95,-49415.7,-43196.8,NA,NA,NA,NA,NA,NA,NA
"b1[2] Assoc",-33040.5830066667,-33030.45,-32910.7476016427,13069.5,0.95,-35916.1,-30335.1,NA,NA,NA,NA,NA,NA,NA
"b1[3] Full",-3111.3482628028,-3101.185,-3032.06918944821,13039.4,0.95,-5987.48,-197.738,NA,NA,NA,NA,NA,NA,NA
"b1[4] Endow",26931.88408,26947.8,27125.7383606981,13905.1,0.95,22209.5,31361.3,NA,NA,NA,NA,NA,NA,NA
"b1[5] Disting",55578.51994,55615.85,55909.2093530844,13047,0.95,48512.1,62633.3,NA,NA,NA,NA,NA,NA,NA
"b2[1] ACTG",82070.8849,82065.2,82396.0247838503,14502,0.95,72711.2,91803.4,NA,NA,NA,NA,NA,NA,NA
"b2[2] AFRO",-15313.0138776073,-15283.55,-15246.2307024487,14367.8,0.95,-31407.3,1284.47,NA,NA,NA,NA,NA,NA,NA
"b2[3] AMST",-16816.0093446947,-16811.6,-15817.0296760317,14369.8,0.95,-32581.6,-215.454,NA,NA,NA,NA,NA,NA,NA
"b2[4] ANTH",-19253.64470492,-19265.7,-18967.3382389176,13301,0.95,-29228.1,-8553.13,NA,NA,NA,NA,NA,NA,NA
"b2[5] APHS",2957.52133797453,2978.975,3305.16714583508,13437.9,0.95,-7956.86,13597.4,NA,NA,NA,NA,NA,NA,NA
"b2[6] AST",130.341534873333,170.816,615.447717150309,15000,0.95,-13621.8,14445.8,NA,NA,NA,NA,NA,NA,NA
"b2[7] BEPP",49102.4258733333,49083.3,48340.348222604,14384.7,0.95,35358.1,62383.7,NA,NA,NA,NA,NA,NA,NA
"b2[8] BFIN",109280.025586667,109298.5,109524.7085033,13173.8,0.95,100093,118524,NA,NA,NA,NA,NA,NA,NA
"b2[9] BI",-3399.8948492996,-3435.54,-3512.50988997152,13579,0.95,-9887.27,2791.12,NA,NA,NA,NA,NA,NA,NA
"b2[10] BLAN",18091.8540628993,18032.8,17994.7897543147,14556.6,0.95,4570.98,32153.3,NA,NA,NA,NA,NA,NA,NA
"b2[11] CEDP",-16360.7408111333,-16348.75,-15906.0929350721,13248.6,0.95,-26243.4,-6457.69,NA,NA,NA,NA,NA,NA,NA
"b2[12] CEUS",-21461.6226268133,-21500.35,-22145.2839590149,14586.5,0.95,-33547.7,-9309.14,NA,NA,NA,NA,NA,NA,NA
"b2[13] CHEM",19223.4144346667,19216.3,19128.8618014056,14641.6,0.95,12705.1,25570.2,NA,NA,NA,NA,NA,NA,NA
"b2[14] CMCL",-16099.23543726,-16098.05,-16347.6222311115,13466.4,0.95,-28099.4,-4877.7,NA,NA,NA,NA,NA,NA,NA
"b2[15] CMLT",-21711.7943218867,-21644.55,-20400.8714943743,14553.3,0.95,-36285.4,-7890.5,NA,NA,NA,NA,NA,NA,NA
"b2[16] CRIN",-22769.8847786667,-22795,-23123.6578307808,14011,0.95,-31507.2,-13941.9,NA,NA,NA,NA,NA,NA,NA
"b2[17] CSCI",12866.14026782,12916.1,13033.4313267571,11929.2,0.95,3237.95,22533.1,NA,NA,NA,NA,NA,NA,NA
"b2[18] EALC",-17875.8904640667,-17893.45,-18889.2383961583,14677.5,0.95,-29590.1,-6377.92,NA,NA,NA,NA,NA,NA,NA
"b2[19] ECON",56711.19156,56734.9,57510.2303753665,13161.1,0.95,46881.4,66680.3,NA,NA,NA,NA,NA,NA,NA
"b2[20] ELPS",-5923.53042900467,-5941.55,-7353.46942585425,14072.9,0.95,-16984.4,5878.47,NA,NA,NA,NA,NA,NA,NA
"b2[21] ENG",-19344.966754,-19353.5,-19820.7263775357,12004.5,0.95,-27285.4,-11676.7,NA,NA,NA,NA,NA,NA,NA
"b2[22] FINH",-21817.75238026,-21793.6,-21888.592554814,14765.6,0.95,-35094.9,-7315.75,NA,NA,NA,NA,NA,NA,NA
"b2[23] FINS",-18933.075342038,-19052.45,-19828.9014822848,12155,0.95,-33337,-4563.63,NA,NA,NA,NA,NA,NA,NA
"b2[24] FOLK",-22160.3445190667,-22170.3,-20919.9672186252,14411.2,0.95,-33565.7,-9980.72,NA,NA,NA,NA,NA,NA,NA
"b2[25] FRIT",-13587.1387571807,-13565.55,-12940.8170938682,15535,0.95,-24820,-1771.61,NA,NA,NA,NA,NA,NA,NA
"b2[26] GEOG",-8568.93677156007,-8536.595,-7882.55239297656,15000,0.95,-22242.2,6330.03,NA,NA,NA,NA,NA,NA,NA
"b2[27] GEOL",-14066.8356900427,-14044.7,-14242.318264977,10910.6,0.95,-24303.6,-3872.28,NA,NA,NA,NA,NA,NA,NA
"b2[28] GERM",-30745.0175464667,-30748.15,-30076.8145671961,13239.9,0.95,-46596.2,-15922.6,NA,NA,NA,NA,NA,NA,NA
"b2[29] HIST",-12389.6569883333,-12385.35,-12628.7554142539,13382.1,0.95,-19835.2,-4542.44,NA,NA,NA,NA,NA,NA,NA
"b2[30] INFO",9478.915996696,9441.05,8987.00726040937,13854,0.95,-280.344,19337.6,NA,NA,NA,NA,NA,NA,NA
"b2[31] JOUR",-14850.82024848,-14838,-14422.713057125,14368.7,0.95,-26776.5,-3667.65,NA,NA,NA,NA,NA,NA,NA
"b2[32] KINE",-7052.58507737626,-7040.91,-7369.10149185978,14610.9,0.95,-18400.2,4396.75,NA,NA,NA,NA,NA,NA,NA
"b2[33] LAWS",40290.2183733333,40310.25,40358.0336807511,12110.1,0.95,31351.8,48643.7,NA,NA,NA,NA,NA,NA,NA
"b2[34] LGED",-20015.9060416267,-20013.65,-19455.4029166039,14291.7,0.95,-33763.5,-7052.58,NA,NA,NA,NA,NA,NA,NA
"b2[35] LING",-12941.8319071612,-12910.65,-13104.5895488059,14508,0.95,-27523.3,1514.88,NA,NA,NA,NA,NA,NA,NA
"b2[36] MATH",-6651.16597413067,-6655.105,-6672.61313100324,11433.6,0.95,-14969.7,1332.73,NA,NA,NA,NA,NA,NA,NA
"b2[37] MGMT",62814.7462,62806.3,61869.8464072735,14232.9,0.95,50628.5,74724.5,NA,NA,NA,NA,NA,NA,NA
"b2[38] MKTG",67424.83248,67468.15,68052.5376187718,14358.5,0.95,55908,78147.1,NA,NA,NA,NA,NA,NA,NA
"b2[39] MUHI",-30471.6606773333,-30439.8,-29567.9897940099,15000,0.95,-43306.7,-17665.9,NA,NA,NA,NA,NA,NA,NA
"b2[40] MUIN",-22920.606562,-22950.6,-23198.076531111,12350.6,0.95,-31614.2,-14791.8,NA,NA,NA,NA,NA,NA,NA
"b2[41] MUST",-1737.0554985378,-1757.895,-2287.29129429533,13533.5,0.95,-15099.4,11327,NA,NA,NA,NA,NA,NA,NA
"b2[42] MUTH",-27313.6203653333,-27334.9,-27817.6029129561,14381.5,0.95,-41719.5,-13145.3,NA,NA,NA,NA,NA,NA,NA
"b2[43] MUVO",-28061.0481268,-27999.8,-28189.0119484453,14049.7,0.95,-42454.2,-14016.4,NA,NA,NA,NA,NA,NA,NA
"b2[44] OADT",60328.32144,60372.7,60990.0660162232,15000,0.95,49274.8,71310.8,NA,NA,NA,NA,NA,NA,NA
"b2[45] OPT",-14365.1595331993,-14335.35,-14287.1796765653,14438.1,0.95,-27003.6,-2147.02,NA,NA,NA,NA,NA,NA,NA
"b2[46] PHYS",-2573.33026266447,-2553.895,-2311.75333233525,13187.8,0.95,-11352.2,5674.86,NA,NA,NA,NA,NA,NA,NA
"b2[47] PL",-10151.6561970887,-10204.15,-10372.6828271618,15000,0.95,-21326.1,213.443,NA,NA,NA,NA,NA,NA,NA
"b2[48] POLS",7345.22652132127,7308.83,6765.17653683392,14059.3,0.95,-1305.68,16141.7,NA,NA,NA,NA,NA,NA,NA
"b2[49] PSY",6714.693435322,6721.085,6601.07663297343,13645.9,0.95,613.597,12833.3,NA,NA,NA,NA,NA,NA,NA
"b2[50] REL",-14629.9914542067,-14629.5,-15305.5848623469,14296.8,0.95,-26739.4,-2872.77,NA,NA,NA,NA,NA,NA,NA
"b2[51] RPAD",-4151.44780108219,-4152.28,-4099.38970370702,14480.7,0.95,-17355.4,8604.91,NA,NA,NA,NA,NA,NA,NA
"b2[52] SLIS",5419.07494785427,5390.025,5028.05828691734,14383,0.95,-6037.13,16755.7,NA,NA,NA,NA,NA,NA,NA
"b2[53] SLS",-23581.3553337267,-23528,-22979.922823956,15000,0.95,-38231.5,-8687.23,NA,NA,NA,NA,NA,NA,NA
"b2[54] SOC",-6006.27874259027,-6045.78,-6609.27457237099,14494.8,0.95,-14379.5,2552.72,NA,NA,NA,NA,NA,NA,NA
"b2[55] SPAN",-17495.3873883133,-17462.25,-17190.9255617127,12822,0.95,-27769.8,-7097.51,NA,NA,NA,NA,NA,NA,NA
"b2[56] SPEA",17214.838412,17208.2,17434.8253115835,13029.3,0.95,10554.9,23943,NA,NA,NA,NA,NA,NA,NA
"b2[57] SPHS",7955.72229740207,7949.13,8610.53512305155,14324.7,0.95,-2254.63,18699.8,NA,NA,NA,NA,NA,NA,NA
"b2[58] STAT",3366.8697525278,3312.89,2085.41247126442,15000,0.95,-10687.9,18023.9,NA,NA,NA,NA,NA,NA,NA
"b2[59] TELC",-12057.0031638693,-12121.2,-12290.6652072257,15087,0.95,-23082.3,-585.519,NA,NA,NA,NA,NA,NA,NA
"b2[60] THTR",-23160.36510408,-23157.4,-24528.5228530614,12215.5,0.95,-37936,-9288.15,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,1] Assis ACTG",13517.3901483,13449.2,13867.5460782385,13609.2,0.95,2561.76,25007.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,1] Assoc ACTG",7511.81471697767,7406.725,6771.89125062221,15000,0.95,-5974.47,20594.2,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,1] Full ACTG",-14009.64174446,-13936.25,-13505.6642326652,11935.8,0.95,-24733.8,-2366.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,1] Endow ACTG",-5324.26282446773,-5264.565,-5660.19524065515,14329,0.95,-17953,6980.84,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,1] Disting ACTG",-1695.30014440713,-1657.32,-2834.83838272461,15000,0.95,-19213.5,14905.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,2] Assis AFRO",346.559620930533,407.3305,927.61838774295,15000,0.95,-17172,17026.6,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,2] Assoc AFRO",115.582738623,98.5183,156.183185287045,15000,0.95,-13815.4,13810.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,2] Full AFRO",-1031.77761035533,-1002.97,-265.600683354991,14169.7,0.95,-14621,13195.2,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,2] Endow AFRO",136.890499279333,93.9632,-912.820377780197,15000,0.95,-16962.8,17018.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,2] Disting AFRO",432.744934232,369.412,-113.745973942066,15000,0.95,-15930.7,18138.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,3] Assis AMST",-249.085896371467,-269.1205,-620.779025522155,14493.9,0.95,-14266.4,13691.8,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,3] Assoc AMST",-584.2401420162,-636.7665,-1217.07838275827,14336.3,0.95,-14789.6,12902.4,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,3] Full AMST",315.502420888667,251.179,292.463003962657,15000,0.95,-16931.2,17292.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,3] Endow AMST",201.860926330333,232.773,8.51576518100046,14173.9,0.95,-16643.8,17288.7,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,3] Disting AMST",315.962986774667,259.7795,67.9424132426211,15000,0.95,-16463.8,17271.8,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,4] Assis ANTH",2938.75355077207,2905.82,2125.48961624709,15000,0.95,-11843.4,17105.2,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,4] Assoc ANTH",1170.19895831053,1161.365,1633.70911820543,13766,0.95,-9900.41,11961.8,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,4] Full ANTH",-590.702487954267,-583.743,250.041987813063,13773.3,0.95,-11296.8,10429.4,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,4] Endow ANTH",-3842.889785477,-3723.61,-3283.72674220087,15000,0.95,-18653.9,10966,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,4] Disting ANTH",324.6394210038,264.53,124.834158536396,14209.8,0.95,-17359.5,16671,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,5] Assis APHS",-5645.39727750867,-5663.755,-6118.65006323792,14522.1,0.95,-17523.8,6685.21,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,5] Assoc APHS",-3514.40249811227,-3482.735,-4037.1259004874,13155.2,0.95,-14799.1,7613.75,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,5] Full APHS",9251.851941392,9203.725,9544.79008043632,14387.8,0.95,-3040.36,21706.2,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,5] Endow APHS",55.6653022239333,-64.0215,76.3493497854724,14449.9,0.95,-16098,17524.7,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,5] Disting APHS",-147.717536854,-187.7995,-844.728330824699,14333.8,0.95,-16667.6,17140.5,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,6] Assis AST",-2869.63896111797,-2758.84,-1872.07120037592,15000,0.95,-18023,11270.3,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,6] Assoc AST",-5571.0549358984,-5481.95,-4969.42422021013,15000,0.95,-19044.5,8460.33,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,6] Full AST",-3379.6324525976,-3342.065,-2843.86450350503,15000,0.95,-17006.9,9676.59,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,6] Endow AST",11811.309319484,11539.85,10902.1849777101,11679.4,0.95,-4157.78,26662.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,6] Disting AST",9.01720421212667,22.3947,-5.64835034801217,15000,0.95,-17219.6,16836.8,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,7] Assis BEPP",-1173.7367764902,-1177.71,-1803.43121976557,15000,0.95,-14845.5,11716.7,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,7] Assoc BEPP",422.65998846,439.1695,-469.776449485009,14035.6,0.95,-12647.5,13516.4,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,7] Full BEPP",-1020.20131020033,-935.4335,-415.758790987224,14218.4,0.95,-18151.8,15968.5,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,7] Endow BEPP",2747.53180914507,2642.345,2142.48188027379,14573,0.95,-10775.1,16837.5,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,7] Disting BEPP",-976.253506792,-1034.425,-1934.16270955907,14833.7,0.95,-17855.9,16170.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,8] Assis BFIN",3935.70083804067,3880.965,3427.72575334769,13537.4,0.95,-7077.15,15105.2,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,8] Assoc BFIN",9370.95938846993,9344.24,9397.08783027057,12178.1,0.95,-1148.63,20324.6,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,8] Full BFIN",1399.94092384353,1328.275,834.103179179143,15000,0.95,-10738.7,14111,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,8] Endow BFIN",-12455.2805050153,-12355.95,-13223.2544184634,12694.3,0.95,-24936.8,813.422,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,8] Disting BFIN",-2251.320807954,-2090.33,-1495.98939886461,14484,0.95,-19394.7,14781.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,9] Assis BI",-138.960188220667,-166.924,-365.207662313896,15059.7,0.95,-8782.09,8920.78,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,9] Assoc BI",-3041.45313364827,-3002.995,-3198.9376592587,14096.8,0.95,-10876.6,5007.57,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,9] Full BI",1386.23265078447,1419.075,1825.68193336276,14440.6,0.95,-7336.8,10088.8,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,9] Endow BI",-3449.01978773305,-3317.965,-2340.26995133595,13618.3,0.95,-18881.4,10299.8,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,9] Disting BI",5243.2006903658,5205.33,5278.91521006341,13978.8,0.95,-5092.56,16130.7,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,10] Assis BLAN",3896.13572712787,3837.49,3057.2266583114,15000,0.95,-9791.97,16842.8,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,10] Assoc BLAN",937.194078362267,824.034,362.202589652108,15000,0.95,-12703.9,14784.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,10] Full BLAN",-329.116086263267,-341.951,135.638423701545,14464.1,0.95,-14493.4,14980.8,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,10] Endow BLAN",-3990.98268847267,-3988.25,-4171.45025349912,14574.4,0.95,-19319.7,10945.7,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,10] Disting BLAN",-513.230860011333,-454.132,-255.008025208757,15000,0.95,-16769.2,17185.8,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,11] Assis CEDP",2341.03998093827,2388.665,3102.31958584853,14288.7,0.95,-8666.77,13534.6,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,11] Assoc CEDP",-967.314965516067,-971.114,141.103813850757,13897.5,0.95,-11592.9,9806.26,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,11] Full CEDP",-1860.03540470187,-1841.925,-1303.87068475691,13494.8,0.95,-12895,8987.63,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,11] Endow CEDP",96.0958954644,73.31635,160.110267499374,13758.7,0.95,-17551.2,16922.3,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,11] Disting CEDP",390.214752739667,364.223,1038.46342319944,14504.5,0.95,-16434.1,17692.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,12] Assis CEUS",1594.2922878211,1543.145,1340.50529373729,13723,0.95,-13471.6,15936.7,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,12] Assoc CEUS",6346.95962547599,6225.295,5411.85642386011,13548.3,0.95,-6166.95,19414.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,12] Full CEUS",3543.33441249173,3433.335,2538.85567191997,13834.2,0.95,-8930.17,16035.7,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,12] Endow CEUS",-11818.7699157367,-11696.4,-11819.5530381943,11032.6,0.95,-27108.4,3286.55,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,12] Disting CEUS",334.183565344267,408.2475,1222.90880268129,14444.7,0.95,-17098,16845.6,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,13] Assis CHEM",-12730.8698897587,-12664.45,-12384.2685831228,12642.6,0.95,-22073.6,-3413.55,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,13] Assoc CHEM",-4036.8416249868,-4018.875,-4072.81301725622,15000,0.95,-13607.5,5425.86,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,13] Full CHEM",12864.3430390253,12805.25,11654.4823871911,13642.9,0.95,3591.32,22451.4,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,13] Endow CHEM",4341.33124212133,4375.115,5578.12948267348,15000,0.95,-7094.56,15566.3,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,13] Disting CHEM",-437.9623517068,-417.2445,-538.808369778475,15419.8,0.95,-12016.2,11642.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,14] Assis CMCL",-2244.84810238223,-2225.935,-2644.35476194441,14629.1,0.95,-15360.7,10349.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,14] Assoc CMCL",-1300.68362963093,-1289.88,-1016.07659028173,14516.5,0.95,-13134.9,10037.2,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,14] Full CMCL",3003.18231552629,2944.75,2395.12372271106,15046.4,0.95,-9889.41,15843.8,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,14] Endow CMCL",359.102273864987,342.974,1520.48578043331,13963.7,0.95,-16324.4,17800.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,14] Disting CMCL",183.247026446267,155.314,-202.49256717485,15737.2,0.95,-17053.5,17132.2,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,15] Assis CMLT",1656.6166414966,1636.53,1489.92704105725,15000,0.95,-12194.2,14975.4,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,15] Assoc CMLT",-511.816051941867,-461.1825,163.502131526377,15000,0.95,-14557.2,13312.6,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,15] Full CMLT",-2011.59153024802,-2001.98,-1839.27931820526,15000,0.95,-14600.4,11476.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,15] Endow CMLT",499.189418789067,568.9045,1428.66133468932,15000,0.95,-16623.4,17155.7,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,15] Disting CMLT",367.601547786333,321.632,420.828164399012,15000,0.95,-16393,17523.2,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,16] Assis CRIN",4479.55976232993,4459.985,4399.33695134864,14501.2,0.95,-6559.83,15449.4,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,16] Assoc CRIN",2790.07544753933,2751.035,2287.34334232423,15000,0.95,-8164.82,12597.2,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,16] Full CRIN",-2962.22939362467,-2951.54,-2920.18945476885,13864.7,0.95,-13696.7,7721.33,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,16] Endow CRIN",-4638.98722364153,-4602.025,-4327.22710302336,14554.2,0.95,-17834.4,8644.66,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,16] Disting CRIN",331.581613129333,328.058,343.29629604776,14776.5,0.95,-17387.2,16907.6,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,17] Assis CSCI",608.855962125467,675.296,974.684252256,14612.6,0.95,-10626.4,11420.4,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,17] Assoc CSCI",936.1612737286,908.118,678.175080440262,13122.7,0.95,-9247.48,10895,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,17] Full CSCI",-992.237524534467,-981.034,-1177.66668901051,13893.8,0.95,-11712,9683.51,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,17] Endow CSCI",-247.673998350933,-193.37,694.250329169488,13804.8,0.95,-17472.7,16574.3,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,17] Disting CSCI",-305.1055890622,-224.0475,558.080813140048,14276.4,0.95,-16981.6,16929.7,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,18] Assis EALC",714.454954016933,697.0735,283.059814980843,14594.9,0.95,-11182.7,12620,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,18] Assoc EALC",-1243.06359835267,-1222.04,-832.615350556152,14461.2,0.95,-13663.7,11104.3,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,18] Full EALC",-19.4278240104,40.07225,470.276315947442,15000,0.95,-12602.4,12144.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,18] Endow EALC",314.088780680933,392.693,1208.53510287354,14342.2,0.95,-17524.5,16653.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,18] Disting EALC",233.947744570533,152.358,-834.339759238435,15000,0.95,-16512.7,17739.6,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,19] Assis ECON",-17538.4402164667,-17478.7,-17985.8887734795,10684.4,0.95,-29154.3,-6247.62,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,19] Assoc ECON",6517.46036138093,6491.65,6494.94059106,13775.2,0.95,-6114.9,19155.6,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,19] Full ECON",4212.06652406,4258.455,4741.98662899063,13907.8,0.95,-6355.12,15718,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,19] Endow ECON",8118.77423771333,7924.925,7317.09242575329,12962.6,0.95,-6989.59,23245.7,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,19] Disting ECON",-1309.86147158567,-1207.455,-1114.72803719363,13774.3,0.95,-18307.2,15785.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,20] Assis ELPS",-3066.6438397154,-3062.03,-3372.71931530541,14396.9,0.95,-16029.7,9800.39,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,20] Assoc ELPS",-3275.04951567053,-3298.37,-4141.57977825195,14338.9,0.95,-14576.3,8470.05,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,20] Full ELPS",6128.90785691127,6055.905,5501.7107514068,13618,0.95,-5969.31,18992.3,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,20] Endow ELPS",183.947585958267,134.932,-225.38518432618,14595.2,0.95,-16564.1,17221.8,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,20] Disting ELPS",28.8384296991333,-12.90917,10.6130650012128,15000,0.95,-16923.9,17036.4,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,21] Assis ENG",2684.89938281433,2641.165,2118.33149932133,15000,0.95,-7914.38,13351.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,21] Assoc ENG",4044.88946930127,4033.86,3079.90846874521,12780.2,0.95,-5128.5,12902.3,NA,NA,NA,NA,NA,NA,NA
