"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b1b2[3,21] Full ENG",6246.88778951673,6241.01,6339.27771989025,12727.9,0.95,-2995.33,15842.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,21] Endow ENG",-13258.0286593613,-13162.6,-11902.537821362,11525.3,0.95,-25486.1,-341.356,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,21] Disting ENG",281.352107958667,377.878,693.959056483269,13585.6,0.95,-16464.5,17692.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,22] Assis FINH",1938.291842944,1903.165,1882.72258015571,14245.8,0.95,-10824.2,15339,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,22] Assoc FINH",970.895425007867,949.8715,760.983219135895,14806,0.95,-12024.2,14186.6,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,22] Full FINH",-3766.067962488,-3695.19,-3949.04278512311,13883,0.95,-18965.2,10747.7,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,22] Endow FINH",454.031333194,400.6255,565.163325884692,15000,0.95,-16355.9,17644.4,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,22] Disting FINH",402.848939588667,362.5095,27.2235817807523,15000,0.95,-16780.4,17417.4,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,23] Assis FINS",503.5501296622,408.756,38.1163661556566,15440.8,0.95,-14059.6,15952,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,23] Assoc FINS",-1682.73102066313,-1700.035,-2478.69320759537,12532.2,0.95,-14359.7,12241.5,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,23] Full FINS",313.787145028933,290.1865,0.0286316684941994,15000,0.95,-17712.3,16485.5,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,23] Endow FINS",554.027009766467,513.2615,239.431753280616,15000,0.95,-14151.5,15793.6,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,23] Disting FINS",311.367035680533,360.4715,1667.15575893444,14656.7,0.95,-16754,17609.8,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,24] Assis FOLK",2027.42901360287,1940.325,1310.60690532496,15000,0.95,-11352.5,15545.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,24] Assoc FOLK",1949.7186640548,1977.205,2288.65695791566,15000,0.95,-10510.5,14029.8,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,24] Full FOLK",-3313.62175310393,-3293.57,-3190.70506285454,15000,0.95,-16107.1,9498.46,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,24] Endow FOLK",-1127.5188007858,-1086.135,-1138.3386034953,15000,0.95,-16398.2,13316.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,24] Disting FOLK",463.992888934667,388.8035,705.828425349682,13705.8,0.95,-16427,17964.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,25] Assis FRIT",1247.43681948857,1221.31,1019.14860891444,15000,0.95,-11522.4,13822.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,25] Assoc FRIT",-9135.69994538733,-9060.61,-8826.37434775059,14455.7,0.95,-21413.3,3039.75,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,25] Full FRIT",7287.24526422333,7162.21,6815.66785132047,13972.1,0.95,-4678.27,19465.5,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,25] Endow FRIT",279.3770887346,303.0875,569.106365627522,14627.9,0.95,-16886.2,17229.7,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,25] Disting FRIT",321.641009571267,282.6155,957.073629502091,15000,0.95,-16653.5,17551.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,26] Assis GEOG",-932.946525052667,-899.413,-690.86683334635,15000,0.95,-14143.9,12463,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,26] Assoc GEOG",-1334.80394686933,-1334.56,-1321.55688936315,15000,0.95,-16416.6,13449.3,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,26] Full GEOG",2062.60704288933,2045.29,2678.68242693381,15000,0.95,-11230.5,15847.6,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,26] Endow GEOG",82.2742670876267,135.6115,740.129522586874,15000,0.95,-16450.2,17682,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,26] Disting GEOG",122.868996036267,97.9279,-1242.4517018426,14349.4,0.95,-16492.1,17638.5,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,27] Assis GEOL",2483.59050531991,2482.79,3462.92546773655,13731.6,0.95,-9859.13,14235.4,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,27] Assoc GEOL",-827.049026686733,-837.6925,-783.006261123686,15000,0.95,-13478.3,11588.8,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,27] Full GEOL",7981.7004647748,7844,7326.70442775884,12238.3,0.95,-2929.8,19041.4,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,27] Endow GEOL",-9894.720594745,-9736.99,-8914.71021417817,12667.4,0.95,-25034.8,5161.48,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,27] Disting GEOL",256.479085058467,260.8055,-1084.70390387966,13787.5,0.95,-16698.1,16913.4,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,28] Assis GERM",581.667344615933,583.645,1780.40467772363,14918.2,0.95,-16376.5,17630.6,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,28] Assoc GERM",1572.38812327667,1521.225,404.225920517645,15000,0.95,-12636.7,16704.2,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,28] Full GERM",5087.07375232893,5028.055,5661.94602397209,12981,0.95,-8711.85,18922.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,28] Endow GERM",-7894.76998978787,-7781.685,-8082.91849409165,14133.3,0.95,-23259.8,6894.67,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,28] Disting GERM",653.640568501333,599.4185,578.120371242891,14596.4,0.95,-16225.9,18128.8,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,29] Assis HIST",-832.492970467133,-815.398,356.743436080764,15000,0.95,-10450.4,9380.55,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,29] Assoc HIST",588.516069295133,551.393,296.020007842628,14550.9,0.95,-8427.83,10117.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,29] Full HIST",59.8269182118867,43.6923,162.608763328513,13942.9,0.95,-9308.79,10024.3,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,29] Endow HIST",-58.9168616659333,-74.34795,-1216.18684659558,15000,0.95,-12038.7,12308.3,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,29] Disting HIST",243.066711718933,265.3855,671.99223999292,13815.5,0.95,-16638.5,17029.8,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,30] Assis INFO",890.288192110687,938.765,1245.80159706478,15000,0.95,-11491.6,13637.2,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,30] Assoc INFO",-2277.65644955207,-2273.255,-2973.11579205308,14118.9,0.95,-13115.7,8373.5,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,30] Full INFO",3762.16678117887,3836.205,4483.67140770606,13838,0.95,-7612.18,14670.8,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,30] Endow INFO",-2266.29533403676,-2214.735,-1574.6129652958,14315.3,0.95,-16797.5,12605.7,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,30] Disting INFO",-108.503217432667,-90.9806,1391.94684471962,14446.7,0.95,-16839.7,17292.3,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,31] Assis JOUR",2298.58995771673,2295.775,1467.76929594243,14877.8,0.95,-10315.6,14492.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,31] Assoc JOUR",3770.11961436,3718.835,2380.18369089651,14199.5,0.95,-8624.03,15855.7,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,31] Full JOUR",-6462.11316476067,-6394.365,-6636.61346141084,13380,0.95,-18237.5,5964.38,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,31] Endow JOUR",136.982074800813,103.558,455.709408752555,14390.6,0.95,-16613.9,17876.5,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,31] Disting JOUR",256.421572186667,292.459,113.411415586175,14582.3,0.95,-16725.4,17560.5,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,32] Assis KINE",-1572.02342121205,-1573.575,-1560.29425584653,15000,0.95,-13712.8,10372.3,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,32] Assoc KINE",-1003.90684366287,-1008.13,-1327.01070675738,15000,0.95,-13381.1,10833.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,32] Full KINE",2488.293298956,2418.15,1914.8453715114,15246.2,0.95,-9006.95,14528.2,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,32] Endow KINE",-28.68245987748,-12.25375,327.699526329707,15000,0.95,-16591.5,17277.7,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,32] Disting KINE",116.319428841333,86.331,-580.138660484845,14259.5,0.95,-16964,17221.5,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,33] Assis LAWS",-758.342513615133,-718.468,-594.721411543949,13108.6,0.95,-18819.3,15343.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,33] Assoc LAWS",9967.761369536,9915.585,10115.7958792449,12257.1,0.95,-775.05,20294.2,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,33] Full LAWS",-4379.81547061313,-4358.605,-4474.56477448539,13937.9,0.95,-14146.3,5745.41,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,33] Endow LAWS",2393.48113971647,2339.495,1855.17320778533,12098.9,0.95,-7655.88,11956.6,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,33] Disting LAWS",-7223.08452398293,-7083.865,-7318.43131135235,13452.7,0.95,-22008.6,7293.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,34] Assis LGED",1412.57986056985,1340.195,379.916282585535,15000,0.95,-11693.8,15010.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,34] Assoc LGED",504.9158350864,489.426,-940.497470630035,14406.1,0.95,-12271.9,13148.7,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,34] Full LGED",-2701.42095874973,-2686.315,-2126.25139069541,15000,0.95,-17472.8,11625.4,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,34] Endow LGED",341.264411221867,405.1245,463.325869489861,15000,0.95,-16543.1,17591,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,34] Disting LGED",442.660710634733,406.9445,-1185.37704012994,15000,0.95,-16791.6,17164.3,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,35] Assis LING",796.989974196807,774.866,-410.372342975592,15000,0.95,-14049.2,15786.4,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,35] Assoc LING",61.8594913166667,20.0409,-692.88556210983,15401.7,0.95,-13823.7,14136.7,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,35] Full LING",-1124.01551805828,-1140.015,-1687.09195001618,14588.1,0.95,-14336.7,12395.3,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,35] Endow LING",163.081477290667,38.93455,-355.673518838143,15000,0.95,-16627.8,17524.6,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,35] Disting LING",102.084443862867,69.8641,49.1734745515787,15000,0.95,-16788.8,17201.6,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,36] Assis MATH",4966.10530771553,4998.985,5532.79200738297,15000,0.95,-6205.33,15783.2,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,36] Assoc MATH",-2.66794129606667,29.52365,498.07294974559,13698.4,0.95,-10221.4,9695.96,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,36] Full MATH",-11744.2103657213,-11714.15,-11801.8511484757,11561.8,0.95,-20794.9,-2771.98,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,36] Endow MATH",13405.1505754514,13264.4,12487.7075413609,9880.9,0.95,-2519.43,28718.4,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,36] Disting MATH",-6624.378178356,-6564.6,-7044.90980346371,13415.2,0.95,-21881.4,7814.42,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,37] Assis MGMT",-4593.93123385533,-4623.05,-5038.91707270833,14620.8,0.95,-17481.5,7408.7,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,37] Assoc MGMT",3491.9047968514,3429.725,3852.90605414034,15000,0.95,-9703.37,16234.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,37] Full MGMT",-1289.26986959913,-1275.37,-884.513099176736,13420.2,0.95,-17804.4,16373.4,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,37] Endow MGMT",3855.75760301907,3809.72,4222.70872469032,13741.6,0.95,-8929.02,16257.8,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,37] Disting MGMT",-1464.461269248,-1433.005,-962.405413711997,15000,0.95,-18693.7,15613.5,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,38] Assis MKTG",669.961122708,596.572,710.204096992144,15000,0.95,-11717.9,13807.2,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,38] Assoc MKTG",7475.59598020733,7458.985,7730.37922564953,12864,0.95,-4771.12,19059.4,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,38] Full MKTG",-9845.53587366533,-9668.505,-8935.75186488334,13072.8,0.95,-24702.7,5562.79,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,38] Endow MKTG",3131.59755015107,3123.275,3016.09976981068,14258.9,0.95,-9337.35,15937,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,38] Disting MKTG",-1431.61901650187,-1398.675,-1602.68832158417,14455.9,0.95,-18695.9,15262.8,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,39] Assis MUHI",1573.65970752853,1577.595,1899.97677793322,15000,0.95,-12709.1,16636.7,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,39] Assoc MUHI",2261.8773368644,2182.465,1241.17903606035,15362.8,0.95,-10419.9,14921.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,39] Full MUHI",3691.794161974,3652.315,3714.68748846476,14514.6,0.95,-9742.65,16783.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,39] Endow MUHI",624.850077340867,657.3095,852.50815121035,15000,0.95,-16675.3,17059.2,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,39] Disting MUHI",-8152.18199983107,-8026.275,-7716.27857396365,14483.2,0.95,-22963.5,7479.65,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,40] Assis MUIN",284.477528168133,316.3665,294.862360746734,14526.5,0.95,-14529,14648.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,40] Assoc MUIN",8557.97013587387,8518.8,8725.0083125203,13163.4,0.95,-1998.07,19420.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,40] Full MUIN",-1838.5573612474,-1851.96,-1556.80567727614,12869.9,0.95,-10807.4,7171.07,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,40] Endow MUIN",-3038.11549124573,-3051.32,-2250.77970592146,15000,0.95,-15259.9,9578.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,40] Disting MUIN",-3965.774684997,-3982.74,-4819.15718365306,15000,0.95,-17486.5,9296.37,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,41] Assis MUST",51.9439151248667,68.09335,-217.260737013181,14232.3,0.95,-16802,16861.7,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,41] Assoc MUST",-4499.69633022057,-4339.17,-3977.2048788141,15000,0.95,-19643.6,10262.3,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,41] Full MUST",5227.379873485,5195.425,5432.08658214588,11633.2,0.95,-7194.01,17952.5,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,41] Endow MUST",-755.3543994166,-787.645,-1978.71841441553,15000,0.95,-14488.3,12198.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,41] Disting MUST",-24.2729956950667,-31.4365,-369.378230111601,14447.1,0.95,-16732.8,17350.8,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,42] Assis MUTH",1036.48032319267,1083.66,1222.34429053729,15000,0.95,-13972,15594.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,42] Assoc MUTH",-901.70530761116,-852.3845,-448.720609756165,15457.6,0.95,-14252,12191.6,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,42] Full MUTH",-1217.69779127933,-1261.365,-1961.24773951601,14449.3,0.95,-14468.2,12191.8,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,42] Endow MUTH",442.198238217067,424.3465,192.1502148082,15000,0.95,-16787.6,16961.7,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,42] Disting MUTH",640.723960205333,626.4275,70.5091836772772,15000,0.95,-16277.7,17869.6,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,43] Assis MUVO",554.074032319047,670.734,1778.01572682407,15000,0.95,-16482.7,17345.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,43] Assoc MUVO",3789.94010909925,3667.62,3149.94984873623,15000,0.95,-9402.61,18789.2,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,43] Full MUVO",3950.3229374352,3929.435,3974.57230187672,14008.6,0.95,-8991.85,17453.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,43] Endow MUVO",627.798188754,711.1455,2197.64184070188,15000,0.95,-16939.9,16884.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,43] Disting MUVO",-8922.134877438,-8738.97,-8400.95385365425,12122.3,0.95,-23844.6,6380.53,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,44] Assis OADT",3631.20878154319,3597.145,3361.21773787075,14630.5,0.95,-8149.63,14891.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,44] Assoc OADT",4834.0328988927,4777.25,4589.446966963,14238.9,0.95,-7534.58,17574.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,44] Full OADT",-7351.73186313187,-7252.67,-6999.97432711106,14596.5,0.95,-21306.3,5563.5,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,44] Endow OADT",186.260698257933,150.051,-134.916454341681,14512.6,0.95,-13587.5,13456.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,44] Disting OADT",-1299.77025945447,-1265.235,-189.852911808863,15010.1,0.95,-18423,15681.4,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,45] Assis OPT",4892.75395945,4853.44,4947.90039418012,15000,0.95,-7764.59,18180.5,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,45] Assoc OPT",707.139261376,696.276,-163.149391803126,15000,0.95,-12554.4,13128.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,45] Full OPT",-5973.31275448467,-5899.815,-5681.27712770756,15000,0.95,-18588.2,5921.62,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,45] Endow OPT",202.260739703333,160.8475,759.685470574499,15000,0.95,-16736.2,17081.3,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,45] Disting OPT",171.15858342426,208.818,508.597935399754,15000,0.95,-16413.2,17297.8,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,46] Assis PHYS",138.624941257467,139.724,435.712103132457,14087,0.95,-10051.2,10617.7,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,46] Assoc PHYS",2150.38966115,2132.76,2328.10716236798,14264.8,0.95,-8813.86,13389.3,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,46] Full PHYS",10544.964664022,10531.05,10608.1710381519,12326.8,0.95,1055.81,20169.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,46] Endow PHYS",0.231719286533337,34.15805,844.860281831818,14251,0.95,-16759.1,16998.5,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,46] Disting PHYS",-12834.2109070293,-12678.3,-12324.4712111187,10940.7,0.95,-27113.1,842.802,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,47] Assis PL",-1336.04702009467,-1278.88,-1202.731131596,13899.6,0.95,-15045.6,11713.8,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,47] Assoc PL",-3035.2801842678,-3011.27,-3924.22569634342,15000,0.95,-16335.2,10361.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,47] Full PL",2286.78434706241,2281.79,3013.43410137154,14398.4,0.95,-8882.38,13886.7,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,47] Endow PL",1884.0887158966,1835.545,1222.62296183732,15000,0.95,-11058.5,14377,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,47] Disting PL",200.454312354667,92.8893,-391.96825040695,15000,0.95,-17210.5,17097.7,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,48] Assis POLS",-2841.70275530199,-2790.32,-3129.53908376046,15000,0.95,-16498.3,9936.55,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,48] Assoc POLS",-11333.6433015353,-11295.8,-11179.7439528726,12127.2,0.95,-21851.8,-841.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,48] Full POLS",3805.15875874411,3776.8,3683.75956905562,15519.7,0.95,-6256.59,14034.3,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,48] Endow POLS",9378.25975216133,9259.73,9071.66901560894,11796.3,0.95,-4051,23054.8,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,48] Disting POLS",991.928160386067,988.631,748.371690354623,14567.2,0.95,-13465.1,16121,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,49] Assis PSY",-3332.80617314144,-3370.12,-3461.25284234736,14428.8,0.95,-13190.3,6828.48,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,49] Assoc PSY",-12317.9486250067,-12251.75,-11707.0870608933,12862,0.95,-22040,-2971.42,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,49] Full PSY",-15103.9435396,-15088.85,-16018.8581688813,11169.8,0.95,-23640.3,-6861.69,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,49] Endow PSY",20523.7765529333,20466.45,19698.0345416879,11820.8,0.95,9448.85,31096.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,49] Disting PSY",10230.9223825707,10198.45,10363.287629162,13218.6,0.95,-1065,21701.3,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,50] Assis REL",-2074.31994598233,-2034.24,-1805.54103416711,15000,0.95,-13942.9,10813.2,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,50] Assoc REL",-2275.16576628987,-2278.37,-2576.06928403498,15000,0.95,-14631.9,10021.5,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,50] Full REL",3904.71148969127,3833.915,3573.86835339189,15000,0.95,-9257.97,16779.4,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,50] Endow REL",156.125482583,157.0515,417.500475513552,15513.8,0.95,-16382.8,17760.3,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,50] Disting REL",288.6486912156,233.462,-377.441384228448,15000,0.95,-17152.3,17323.6,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,51] Assis RPAD",-2845.2562806954,-2767.835,-2954.8965794214,14567.9,0.95,-16549.8,9754.17,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,51] Assoc RPAD",1230.84288595507,1124.545,215.103209889221,15000,0.95,-11655.9,13754.3,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,51] Full RPAD",1552.518380865,1500.8,1335.22204881489,15000,0.95,-12229.4,14932.8,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,51] Endow RPAD",29.6015046944,11.17255,-776.719538794234,14332.6,0.95,-17159.2,17228.3,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,51] Disting RPAD",32.2937576895333,13.7716,-32.4138494482322,15000,0.95,-16288.1,17666,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,52] Assis SLIS",1162.15568120187,1137.005,1142.37724640495,15379.3,0.95,-11254,14417.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,52] Assoc SLIS",-721.823774435081,-738.6345,-1272.12019896346,15000,0.95,-12370.5,11396.7,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,52] Full SLIS",-2076.09001009,-1987.075,-1250.34702380722,15000,0.95,-17449,12090.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,52] Endow SLIS",1750.253731972,1681.37,1220.77292695703,15000,0.95,-11459.1,15500.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,52] Disting SLIS",-114.495719735333,-186.9925,-489.527187802676,14859,0.95,-17738.2,16619.6,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,53] Assis SLS",1611.594481916,1600.085,1454.96892253143,15562.4,0.95,-12414.9,14568.9,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,53] Assoc SLS",-279.864593911547,-273.028,175.137782597514,12599.1,0.95,-14256.4,12846.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,53] Full SLS",-2295.47722567527,-2231.85,-1880.79699396824,15000,0.95,-17270.3,12768.5,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,53] Endow SLS",479.791628949853,438.719,795.411152553868,15000,0.95,-16253.4,16951.1,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,53] Disting SLS",483.955564648867,562.8315,1076.11210666432,15000,0.95,-16352.2,17462.6,NA,NA,NA,NA,NA,NA,NA
